Date,Service,Direction,Langue,Record_count,Weeknum,Year,Month,Wkyear,Myear,,,,,Wkyear,Records,,,,Myear,Records
02-11-2017,Chat,direct,fr,66,44,2017,11,201744,201711,,,,,201744,304,,,,201711,6073
02-11-2017,Call,direct,fr,235,44,2017,11,201744,201711,,,,,201745,1460,,,,201712,4157
03-11-2017,Chat,direct,fr,3,44,2017,11,201744,201711,,,,,201746,1300,,,,20181,5139
06-11-2017,Chat,direct,fr,34,45,2017,11,201745,201711,,,,,201747,1395,,,,201810,7077
06-11-2017,Call,direct,fr,257,45,2017,11,201745,201711,,,,,201748,1635,,,,201811,6246
06-11-2017,SMS,direct,fr,221,45,2017,11,201745,201711,,,,,201749,1495,,,,201812,4377
07-11-2017,Chat,direct,fr,67,45,2017,11,201745,201711,,,,,201750,1352,,,,20182,5377
07-11-2017,Call,direct,fr,283,45,2017,11,201745,201711,,,,,201751,1289,,,,20183,4103
08-11-2017,Chat,direct,fr,80,45,2017,11,201745,201711,,,,,20182,1093,,,,20184,5616
08-11-2017,Call,direct,fr,227,45,2017,11,201745,201711,,,,,20183,1507,,,,20185,5671
09-11-2017,Chat,direct,fr,59,45,2017,11,201745,201711,,,,,20184,1316,,,,20186,3593
09-11-2017,Call,direct,fr,210,45,2017,11,201745,201711,,,,,20185,1512,,,,20187,649
10-11-2017,Chat,direct,fr,22,45,2017,11,201745,201711,,,,,20186,1361,,,,20188,38
13-11-2017,Chat,direct,fr,42,46,2017,11,201746,201711,,,,,20187,1248,,,,20189,6286
13-11-2017,SMS,direct,fr,197,46,2017,11,201746,201711,,,,,20188,1332,,,,20191,5954
13-11-2017,Call,direct,fr,252,46,2017,11,201746,201711,,,,,20189,1372,,,,201910,6462
14-11-2017,Chat,direct,fr,84,46,2017,11,201746,201711,,,,,201810,3,,,,201911,5393
14-11-2017,Call,direct,fr,252,46,2017,11,201746,201711,,,,,201811,1296,,,,201912,4062
15-11-2017,Chat,direct,fr,56,46,2017,11,201746,201711,,,,,201812,1522,,,,20192,5487
15-11-2017,Call,direct,fr,187,46,2017,11,201746,201711,,,,,201813,1057,,,,20193,4519
16-11-2017,Chat,direct,fr,54,46,2017,11,201746,201711,,,,,201814,983,,,,20194,5710
16-11-2017,Call,direct,fr,156,46,2017,11,201746,201711,,,,,201815,1521,,,,20195,4060
17-11-2017,Chat,direct,fr,20,46,2017,11,201746,201711,,,,,201816,1271,,,,20196,2706
20-11-2017,Chat,direct,fr,36,47,2017,11,201747,201711,,,,,201817,1253,,,,20197,751
