Date,Service,Direction,Langue,Record_count
02-11-2017,Chat,direct,fr,66
02-11-2017,Call,direct,fr,235
03-11-2017,Chat,direct,fr,3
06-11-2017,Chat,direct,fr,34
06-11-2017,Call,direct,fr,257
06-11-2017,SMS,direct,fr,221
07-11-2017,Chat,direct,fr,67
07-11-2017,Call,direct,fr,283
08-11-2017,Chat,direct,fr,80
08-11-2017,Call,direct,fr,227
09-11-2017,Chat,direct,fr,59
09-11-2017,Call,direct,fr,210
10-11-2017,Chat,direct,fr,22
13-11-2017,Chat,direct,fr,42
13-11-2017,SMS,direct,fr,197
13-11-2017,Call,direct,fr,252
14-11-2017,Chat,direct,fr,84
14-11-2017,Call,direct,fr,252
15-11-2017,Chat,direct,fr,56
15-11-2017,Call,direct,fr,187
16-11-2017,Chat,direct,fr,54
16-11-2017,Call,direct,fr,156
17-11-2017,Chat,direct,fr,20
20-11-2017,Chat,direct,fr,36
20-11-2017,Call,direct,fr,300
20-11-2017,SMS,direct,fr,192
21-11-2017,Chat,direct,fr,64
21-11-2017,Call,direct,fr,250
22-11-2017,Chat,direct,fr,51
22-11-2017,Call,direct,fr,242
23-11-2017,Chat,direct,fr,38
23-11-2017,Call,direct,fr,201
24-11-2017,Chat,direct,fr,21
27-11-2017,Chat,direct,fr,48
27-11-2017,Call,direct,fr,317
27-11-2017,SMS,direct,fr,251
28-11-2017,Chat,direct,fr,94
28-11-2017,Call,direct,fr,338
29-11-2017,Chat,direct,fr,59
29-11-2017,Call,direct,fr,264
30-11-2017,Chat,direct,fr,48
30-11-2017,Call,direct,fr,195
01-12-2017,Chat,direct,fr,21
04-12-2017,Chat,direct,fr,41
04-12-2017,Call,direct,fr,301
04-12-2017,SMS,direct,fr,170
05-12-2017,Chat,direct,fr,57
05-12-2017,Call,direct,fr,295
06-12-2017,Chat,direct,fr,53
06-12-2017,Call,direct,fr,270
07-12-2017,Chat,direct,fr,68
07-12-2017,Call,direct,fr,213
08-12-2017,Chat,direct,fr,27
11-12-2017,Chat,direct,fr,23
11-12-2017,Call,direct,fr,259
11-12-2017,SMS,direct,fr,144
12-12-2017,Chat,direct,fr,64
12-12-2017,Call,direct,fr,262
13-12-2017,Chat,direct,fr,63
13-12-2017,Call,direct,fr,250
14-12-2017,Chat,direct,fr,44
14-12-2017,Call,direct,fr,213
15-12-2017,Chat,direct,fr,30
18-12-2017,Chat,direct,fr,42
18-12-2017,Call,direct,fr,278
18-12-2017,SMS,direct,fr,202
19-12-2017,Chat,direct,fr,53
19-12-2017,Call,direct,fr,298
20-12-2017,Chat,direct,fr,51
20-12-2017,Call,direct,fr,215
21-12-2017,Chat,direct,fr,43
21-12-2017,Call,direct,fr,94
22-12-2017,Chat,direct,fr,13
08-01-2018,Call,direct,fr,70
08-01-2018,Chat,direct,fr,27
08-01-2018,SMS,direct,fr,218
09-01-2018,Call,direct,fr,184
09-01-2018,Chat,direct,fr,22
10-01-2018,Call,direct,fr,200
10-01-2018,Chat,direct,fr,67
11-01-2018,Call,direct,fr,235
11-01-2018,Chat,direct,fr,44
12-01-2018,Chat,direct,fr,26
15-01-2018,Call,direct,fr,263
15-01-2018,Chat,direct,fr,34
15-01-2018,SMS,direct,fr,260
16-01-2018,Call,direct,fr,248
16-01-2018,Chat,direct,fr,58
17-01-2018,Call,direct,fr,243
17-01-2018,Chat,direct,fr,62
18-01-2018,Call,direct,fr,220
18-01-2018,Chat,direct,fr,81
19-01-2018,Chat,direct,fr,38
22-01-2018,Call,direct,fr,289
22-01-2018,Chat,direct,fr,52
22-01-2018,SMS,direct,fr,192
23-01-2018,Call,direct,fr,229
23-01-2018,Chat,direct,fr,40
24-01-2018,Call,direct,fr,242
24-01-2018,Chat,direct,fr,31
25-01-2018,Call,direct,fr,192
25-01-2018,Chat,direct,fr,33
26-01-2018,Chat,direct,fr,16
29-01-2018,Call,direct,fr,252
29-01-2018,Chat,direct,fr,48
29-01-2018,SMS,direct,fr,279
30-01-2018,Call,direct,fr,248
30-01-2018,Chat,direct,fr,94
31-01-2018,Call,direct,fr,243
